SKU ID,Current Stock Quantity,Average Lead Time (days),Maximum Lead Time (days),Unit Price
1009XX,7210,30,48,28.76326
1077ZX,46516,45,70,22.9777
1083XX,48210,45,68,29.02
1116ZX,33398,90,140,32.8
1126ZX,39270,45,62,32.8
1130XX,13622,90,139,17.26609
1145YX,1816,45,60,85.30066
1161XX,197,90,142,136.5925
1163ZX,2161,90,136,94.66425
1193YX,2957,90,138,815
1196XX,1253,90,128,30
1206YX,786,45,69,236.62475
1214ZX,2472,30,43,317.65903
1224XX,194,90,121,698
1234YX,532,45,63,498
1244XX,2834,45,67,60
1255ZX,10,60,83,84500
1265ZX,6,60,79,103500
1266ZX,5,60,86,118900
1281YX,3,60,85,139500
1283ZX,0,60,92,98333.33
1295ZX,5,120,158,175000
1296ZX,4,60,93,30
1308YX,8,45,63,30
1315YX,6,90,131,30
1317YX,4,90,120,30
1317ZX,16,90,144,4908.7
1321YX,9,90,137,30
1325XX,6,45,69,30
1326XX,8,90,126,30
1330ZX,8,60,92,6000
1366YX,12,45,67,16900
1367ZX,5,90,121,22000
1373YX,9,45,59,30
1374ZX,4,45,70,30
1379ZX,271,45,72,490.18125
1382ZX,172,90,123,613.52125
1385ZX,89,45,66,1781.5475
1390YX,11,30,47,30
1403ZX,10,30,42,2550
1420ZX,9,30,46,30
1434YX,27,30,48,30
1436YX,81,30,41,125
1441XX,38,45,70,190
1445YX,46,30,44,1291.865
1464XX,21,30,42,842.57
1468XX,459,60,94,30
1479ZX,303,60,81,385.5625
1484YX,439,15,23,0.2
1486ZX,66,60,81,190.72
1488YX,45,30,47,70
1488ZX,100,15,22,30
1491ZX,0,30,43,30
1497ZX,2096,40,53,16.71828
1499XX,4218,20,30,14.22359
1499ZX,25,60,86,6600
1511ZX,50,30,41,6.787
1514YX,13,45,68,332.8
1571XX,86,60,93,320
1582ZX,23,45,63,550
1584YX,20,45,65,425
1586ZX,972,30,40,286.571
1601XX,14,30,42,918.403
1624XX,17,15,21,722.101
1624ZX,18,30,48,1531.377
1630YX,262,60,91,442.803
1650XX,221,60,93,284.87
1668ZX,400,30,46,0.85
1672XX,415,15,24,30
1678ZX,230,60,87,30
1681ZX,218,30,47,93
1688ZX,287,60,79,30
1695ZX,30,15,22,1649.3
1698ZX,15,15,24,30
1708XX,15,15,23,120
1712XX,17,15,21,30
1716XX,22,15,21,140
1741YX,21,30,41,1450
1745YX,21,15,20,175
1764XX,16,15,23,325
1766ZX,11,15,24,30
1767ZX,14,15,21,30
1798XX,13,15,22,375
1801XX,15,30,46,1250
1811ZX,15,30,42,30
1819XX,15,30,40,30
1826XX,15,60,82,30
1827XX,15,30,48,30
1830XX,26,30,44,30
1842YX,6,30,41,6548.29
1851ZX,6,60,81,30
1857XX,8,60,89,30
1872ZX,6,60,89,16000
1876XX,5,30,40,22919
1882ZX,6,60,87,19950
1902YX,6,60,79,30
1906ZX,32,30,46,1893.75
1907XX,30,60,89,6617.42
1908XX,22,120,157,27809.1
1921XX,4,90,142,50000
1945XX,31,15,23,965
1947ZX,16,30,47,30
1953XX,38,30,40,947.56
1956XX,3,60,90,573.09
1956ZX,12,60,92,1250
1964YX,21840,60,96,99.12769
1967YX,4191,120,163,178.65
1970ZX,791,60,96,244.928
1971XX,1891,120,177,321.9469
1979XX,1257,60,94,278.638
1990XX,2168,60,79,545.845
1992XX,2715,60,92,586.3916
1993XX,21334,60,94,83.75125
1994XX,4317,60,91,450.53667
1995XX,914,120,160,100.57182
2013XX,3371,120,189,143.8402
2016ZX,2521,60,86,267.32395
2021ZX,7873,60,86,295.27467
2025XX,2727,60,80,442.805
2039ZX,1252,120,164,449.75
2041ZX,1256,60,82,648.42
2044ZX,1711,120,166,740.82
2053YX,115,60,89,1212.86889
2054XX,131,120,191,751.83
2054ZX,219,120,174,904
2060XX,396,120,175,1101.15
2066XX,327,120,187,1550.95
2078ZX,338,60,93,1129.24
2096XX,172,120,163,30
2096YX,138,60,84,1524.57667
2115ZX,68,60,88,1912.27
2117YX,372,120,168,2424
2139YX,354,120,176,2032.85
2142ZX,343,60,91,2956
2143XX,196,120,192,30
2170YX,372,120,171,305.19
2173ZX,340,60,92,444.94
2189ZX,641,60,95,299.805
2200ZX,71,60,89,448
2212XX,118,120,180,747.405
2212ZX,88,60,87,884.36
2220YX,107,120,183,752
2223XX,150,60,93,918.7
2227XX,160,60,80,751.635
2229XX,48,120,192,1054.24333
2229ZX,107,60,80,751
2234XX,142,60,83,903
2236ZX,109,120,159,1617.335
2255ZX,49,60,88,1712.565
2265YX,61,120,184,1691.46333
2267ZX,107,60,91,1896.44
2277XX,10253,120,158,6.37172
2291XX,2510,120,191,18.75596
2293XX,509,60,79,12.73097
2315YX,734,120,182,14.9222
2317ZX,3420,60,89,37.26672
2326ZX,6084,30,46,63.5592
2331ZX,227,60,83,210.12419
2336YX,7565,30,44,7.92068
2337ZX,32086,60,83,1.72706
2342ZX,51818,60,86,2.77685
2348YX,30,60,89,38440
2359ZX,7800,90,121,73
2365XX,503,60,83,30
2371ZX,78462,90,136,3.44
2391ZX,87174,45,67,0.75915
2396ZX,124908,30,46,0.7646
2418ZX,120860,60,85,5.8
2422YX,11006,30,45,49.9
2429YX,342553,90,122,5.28688
2449ZX,66031,45,68,30
2458ZX,79661,45,64,6.83263
2471ZX,96647,45,65,4.77698
2473ZX,73915,60,92,5.95
2483YX,107097,30,45,1.875
2484YX,1396,60,85,239.67286
2487YX,397,30,44,14.4
2488ZX,22,30,42,0.95
2498YX,32,60,96,1474.56
2498ZX,23,30,45,117.17
2501ZX,22117,90,125,35.12175
2508YX,46,60,89,463.1
2513ZX,19,30,44,4805.03
2515YX,8140,30,43,90
2524XX,3996,30,41,14
2528ZX,3996,30,43,21
2539XX,187,30,45,30
2548ZX,86,30,41,30
2555ZX,275,30,44,682.5
2564YX,1340,60,96,309.205
2565ZX,1735,30,40,463.03583
2573ZX,444,60,81,1618.99
2600YX,417,60,80,1467.79
2604ZX,843,30,42,129.04
2606XX,43,60,79,2041.52333
2621XX,1627,60,80,61.78333
2632XX,2670,30,41,185.82
2640YX,2588,60,84,444.45667
2646XX,277,120,157,908.33214
2661ZX,711,120,157,182
2662ZX,173,60,82,2015.43638
2670ZX,292,60,82,4550
2672YX,96,120,171,11375
2673YX,4840,60,95,13
2680YX,4097,45,68,215.57
2714ZX,9014,90,124,49.79846
2727ZX,3923,90,120,21.88943
2729XX,880,90,119,76.518
2752XX,933,45,61,76.502
2763ZX,8782,90,136,10.08731
2766XX,7502,90,126,363.83238
2767XX,3706,45,62,147.86565
2785YX,4220,45,63,34.48244
2803YX,4811,45,67,42.48576
2814YX,4499,90,119,50.49535
2840XX,11008,90,127,8.61042
2847YX,3638,90,118,241.79216
2867XX,265,30,47,297.635
2876ZX,577,30,47,427.425
2884XX,690,15,23,30
2895ZX,470,30,42,30
2923ZX,495,15,22,20.18857
2925ZX,131,30,43,48
2930ZX,233,15,24,20.00833
2935YX,759,15,20,23.495
2938ZX,304,15,24,29.206
2953YX,868,30,41,47.90925
2953ZX,35,30,42,1519.82
2956XX,405,30,47,12.02259
2970ZX,28,60,96,512.205
2977YX,442,60,89,52.8
2982XX,200,30,48,30
2987XX,15,30,43,30
2988XX,29,30,40,9261
2994ZX,12,30,48,12977
3003XX,4,30,44,13182
3006ZX,4,60,79,30
3007ZX,5,30,47,18832.33
3016YX,6,60,79,20005.8
3025ZX,15,30,45,1092.5
3027ZX,27,30,46,1145.83
3038YX,10,15,22,1300
3044XX,28,15,21,1450
3053XX,273,15,23,40.87148
3075XX,233,30,47,60.38
3075YX,438,30,43,31
3079YX,13347,15,24,134.5
3084ZX,44,30,45,2769.81
3098XX,88,15,22,3862.32
3120YX,119,30,42,1534.88
3125XX,144,30,43,119.136
3126YX,190,60,82,30
3132YX,34,15,24,190
3138ZX,241,15,21,376.116
3143ZX,646,30,41,47.764
3160YX,390,30,46,270.909
3161YX,317,30,48,360
3177ZX,11771,30,42,69.45642
3178ZX,4,30,47,26000
3180YX,250,30,46,30
3193XX,687,15,22,1425
3205XX,14,60,91,76300
3239XX,800,30,42,687.5
3249ZX,86,60,87,320
3250ZX,418,60,94,34.75342
3264ZX,930,30,47,30
3271ZX,285,30,40,34.5
3274ZX,0,60,92,30
3276XX,0,30,43,30
3291ZX,0,60,86,30
3296XX,0,30,44,30
3299ZX,0,60,82,30
3300ZX,0,30,42,30
3312XX,0,60,84,30
3322XX,6802,60,90,28.5
3332ZX,0,30,46,30
3345XX,240,40,61,31.06467
3358YX,48,30,40,1363.64
3365ZX,310,30,45,13.3248
3378ZX,1900,15,22,1.5
3399XX,14,40,59,194.753
3404ZX,86,15,24,396.54
3407ZX,4,15,21,1017.592
3413XX,160,30,44,35.3004
3420XX,73,15,20,17.255
3423ZX,72,15,21,29.555
3448ZX,1565,30,40,6.5255
3461ZX,177,15,23,30.064
3462XX,820,30,46,4.1
3494XX,2680,30,42,3.5
3495ZX,427,15,22,39.835
3502YX,376,40,55,1234.335
3512XX,70141,20,31,0.10295
3533ZX,82476,40,64,0.64377
3551ZX,10034,20,31,7.06831
3556XX,262,30,42,1077.43125
3570ZX,416,15,21,1160
3576YX,162,60,96,44.79
3579ZX,116,120,187,86.65
3590YX,145,120,160,115.085
3610XX,275,120,188,156.16
3616ZX,331,120,167,433.1
3619ZX,36357,15,22,0.7455
